GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L1C_T34TDM_A039530_20240930T094136,S2B_MSIL1C_20240930T094029_N0511_R036_T34TDM_20240930T121805,GS2B_20240930T094029_039530_N05.11,34TDM,2024-09-30T09:48:49.331000Z,71881841,0.0,,2024-09-30T12:18:05.000000Z,42.448621972950384,41.83509726731881,19.783394354172447,20.0236469253836,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20240930T094029_N0511_R036_T34TDM_20240930T121805.SAFE
L1C_T34TDM_A048467_20241002T093208,S2A_MSIL1C_20241002T093031_N0511_R136_T34TDM_20241002T102307,GS2A_20241002T093031_048467_N05.11,34TDM,2024-10-02T09:38:58.166000Z,849705706,0.00671862402579952,,2024-10-02T10:23:07.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20241002T093031_N0511_R136_T34TDM_20241002T102307.SAFE
L1C_T34TDL_A048467_20241002T093208,S2A_MSIL1C_20241002T093031_N0511_R136_T34TDL_20241002T102307,GS2A_20241002T093031_048467_N05.11,34TDL,2024-10-02T09:39:12.621000Z,850578928,0.0,,2024-10-02T10:23:07.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20241002T093031_N0511_R136_T34TDL_20241002T102307.SAFE
L1C_T34TEK_A048467_20241002T093208,S2A_MSIL1C_20241002T093031_N0511_R136_T34TEK_20241002T102307,GS2A_20241002T093031_048467_N05.11,34TEK,2024-10-02T09:39:22.964000Z,504391046,1.29331417475643,,2024-10-02T10:23:07.000000Z,40.6509465300432,39.66051457455799,20.99964480194382,21.875355922209657,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2A_MSIL1C_20241002T093031_N0511_R136_T34TEK_20241002T102307.SAFE
L1C_T34TDK_A048467_20241002T093208,S2A_MSIL1C_20241002T093031_N0511_R136_T34TDK_20241002T102307,GS2A_20241002T093031_048467_N05.11,34TDK,2024-10-02T09:39:26.938000Z,856172693,0.060825942846905,,2024-10-02T10:23:07.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20241002T093031_N0511_R136_T34TDK_20241002T102307.SAFE
L1C_T34TDL_A039587_20241004T092322,S2B_MSIL1C_20241004T092029_N0511_R093_T34TDL_20241004T112233,GS2B_20241004T092029_039587_N05.11,34TDL,2024-10-04T09:29:16.281000Z,115196183,99.4889252998956,,2024-10-04T11:22:33.000000Z,41.551902960056445,40.562633340259964,20.78063972234573,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20241004T092029_N0511_R093_T34TDL_20241004T112233.SAFE
L1C_T34TDK_A039587_20241004T092322,S2B_MSIL1C_20241004T092029_N0511_R093_T34TDK_20241004T112233,GS2B_20241004T092029_039587_N05.11,34TDK,2024-10-04T09:29:29.278000Z,293341742,57.5621251251159,,2024-10-04T11:22:33.000000Z,40.65093950818212,39.660643371005925,20.505127400752777,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20241004T092029_N0511_R093_T34TDK_20241004T112233.SAFE
L1C_T34TDM_A048510_20241005T094219,S2A_MSIL1C_20241005T094031_N0511_R036_T34TDM_20241005T103448,GS2A_20241005T094031_048510_N05.11,34TDM,2024-10-05T09:48:48.943000Z,76501707,26.1044217652396,,2024-10-05T10:34:48.000000Z,42.448669225322476,41.81727577714793,19.783394354172447,20.029231080059212,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20241005T094031_N0511_R036_T34TDM_20241005T103448.SAFE
L1C_T34TDM_A039630_20241007T093032,S2B_MSIL1C_20241007T093029_N0511_R136_T34TDM_20241007T102946,GS2B_20241007T093029_039630_N05.11,34TDM,2024-10-07T09:38:56.309000Z,844122232,8.55200214995969,,2024-10-07T10:29:46.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20241007T093029_N0511_R136_T34TDM_20241007T102946.SAFE
L1C_T34TDL_A039630_20241007T093032,S2B_MSIL1C_20241007T093029_N0511_R136_T34TDL_20241007T102946,GS2B_20241007T093029_039630_N05.11,34TDL,2024-10-07T09:39:10.770000Z,845488684,22.8518618053689,,2024-10-07T10:29:46.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20241007T093029_N0511_R136_T34TDL_20241007T102946.SAFE
